question,passage_title,sia_score
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",Lights Out Paris,1.16
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",El-P,1.94
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",Born and Raised (EP),1.27
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",Lord Steppington,1.45
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",Control Freek,1.23
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",Hip hop,1.16
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline","Fast Cars, Danger, Fire and Knives",1.56
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",Longterm Mentality,1.27
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",Experimental hip hop,1.4
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",Changes (Alyson Avenue album),1.12
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Louis Stevens (writer),0.83
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",The Lone Gunmen,1.14
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Hermanos de Pistoleros Latinos,0.98
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Piranha (1972 film),1.61
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Gunmen from Laredo,2.46
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Seemanto-heera,0.56
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Frontier Texas!,1.09
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Walter Coy,1.73
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Max McLean,0.57
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Bruce Harwood,0.78
