question,passage_title,sia_score
 The Guelphic Legion was a paramilitary unit maintained at the expense of a king whose reign was ended by what?the Unification of Germany,Malabar Special Police,0.79
 The Guelphic Legion was a paramilitary unit maintained at the expense of a king whose reign was ended by what?the Unification of Germany,Aggabodhi III of Anuradhapura,0.32
 The Guelphic Legion was a paramilitary unit maintained at the expense of a king whose reign was ended by what?the Unification of Germany,Black Swans (special forces),0.85
 The Guelphic Legion was a paramilitary unit maintained at the expense of a king whose reign was ended by what?the Unification of Germany,George V of Hanover,1.8
 The Guelphic Legion was a paramilitary unit maintained at the expense of a king whose reign was ended by what?the Unification of Germany,Alara of Nubia,0.5
 The Guelphic Legion was a paramilitary unit maintained at the expense of a king whose reign was ended by what?the Unification of Germany,Mittasena of Anuradhapura,0.41
 The Guelphic Legion was a paramilitary unit maintained at the expense of a king whose reign was ended by what?the Unification of Germany,Sigfred,0.68
 The Guelphic Legion was a paramilitary unit maintained at the expense of a king whose reign was ended by what?the Unification of Germany,Gothabhaya of Anuradhapura,0.42
 The Guelphic Legion was a paramilitary unit maintained at the expense of a king whose reign was ended by what?the Unification of Germany,Nicholas I of Russia,0.58
 The Guelphic Legion was a paramilitary unit maintained at the expense of a king whose reign was ended by what?the Unification of Germany,Guelphic Legion,2.89
What is George Miller connection to Mad Max 2Created by director George Miller,Max Rockatansky,1.99
What is George Miller connection to Mad Max 2Created by director George Miller,George Miller (director),1.9
What is George Miller connection to Mad Max 2Created by director George Miller,Mad Max Beyond Thunderdome,1.91
What is George Miller connection to Mad Max 2Created by director George Miller,Norma Moriceau,0.98
What is George Miller connection to Mad Max 2Created by director George Miller,Mel Gibson filmography,1.11
What is George Miller connection to Mad Max 2Created by director George Miller,Pursuit Special,0.94
What is George Miller connection to Mad Max 2Created by director George Miller,Mad Max 2 (soundtrack),1.1
What is George Miller connection to Mad Max 2Created by director George Miller,Mad Max 2,1.73
What is George Miller connection to Mad Max 2Created by director George Miller,Mad Max: Fury Road,1.36
What is George Miller connection to Mad Max 2Created by director George Miller,Mad Max (franchise),2.01
X.com was an online bank that later became the company that supports what feature?online money transfers,Jeremy Stoppelman,0.84
